Algo,method,size,q,seed,k,Mean,Sdev
part2.RankSelectNaive,rank,96000,1500,3945,0,35038038.500000,1958040.588059
part2.RankSelectNaive,select,96000,1500,3945,0,95665585.000000,7916438.140886
part2.RankSelectLookUp,rank,96000,1500,3945,0,15506.000000,24871.132466
part2.RankSelectLookUp,select,96000,1500,3945,0,149349.000000,33528.390415
part2.RankSelectSpaceEfficient,rank,96000,1500,3945,3,54531.000000,17965.663481
part2.RankSelectSpaceEfficient,select,96000,1500,3945,3,267900.500000,70700.871394
part2.RankSelectSpaceEfficient,rank,96000,1500,3945,10,34140.500000,2221.844440
part2.RankSelectSpaceEfficient,select,96000,1500,3945,10,342692.500000,6041.530785
part2.RankSelectSpaceEfficient,rank,96000,1500,3945,64,98393.000000,1773.152942
part2.RankSelectSpaceEfficient,select,96000,1500,3945,64,1202544.000000,7222.950858
part2.RankSelectNaive,rank,192000,1500,3945,0,64773710.500000,855441.707487
part2.RankSelectNaive,select,192000,1500,3945,0,200501142.000000,1539555.520884
part2.RankSelectLookUp,rank,192000,1500,3945,0,9394.000000,4355.769466
part2.RankSelectLookUp,select,192000,1500,3945,0,96229.500000,31118.392496
part2.RankSelectSpaceEfficient,rank,192000,1500,3945,3,24318.500000,3004.018707
part2.RankSelectSpaceEfficient,select,192000,1500,3945,3,256767.500000,2899.799638
part2.RankSelectSpaceEfficient,rank,192000,1500,3945,10,32975.000000,927.835867
part2.RankSelectSpaceEfficient,select,192000,1500,3945,10,381716.500000,1793.112941
part2.RankSelectSpaceEfficient,rank,192000,1500,3945,64,96964.000000,542.378903
part2.RankSelectSpaceEfficient,select,192000,1500,3945,64,1466656.000000,94091.186734
part2.RankSelectNaive,rank,384000,1500,3945,0,129291285.500000,920005.212157
part2.RankSelectNaive,select,384000,1500,3945,0,402356602.500000,2085039.459475
part2.RankSelectLookUp,rank,384000,1500,3945,0,7403.500000,2161.503699
part2.RankSelectLookUp,select,384000,1500,3945,0,102537.500000,5269.438171
part2.RankSelectSpaceEfficient,rank,384000,1500,3945,3,22756.000000,635.201863
part2.RankSelectSpaceEfficient,select,384000,1500,3945,3,264203.000000,1533.213854
part2.RankSelectSpaceEfficient,rank,384000,1500,3945,10,36114.500000,593.126246
part2.RankSelectSpaceEfficient,select,384000,1500,3945,10,396433.000000,8156.029369
part2.RankSelectSpaceEfficient,rank,384000,1500,3945,64,101025.500000,5685.244920
