Algo,p,n,alpha,seed,Mean,Sdev
part1.OtherArray,1,25000,0.100000,7,117.680006,1.033645
part1.OtherArray,11,25000,0.100000,7,118.131521,0.932061
part1.OtherArray,21,25000,0.100000,7,118.840991,0.950660
part1.OtherArray,31,25000,0.100000,7,118.779680,0.945593
part1.OtherArray,41,25000,0.100000,7,119.430318,0.949415
part1.OtherArray,51,25000,0.100000,7,119.968403,1.048730
part1.OtherArray,61,25000,0.100000,7,120.531823,1.139899
part1.OtherArray,71,25000,0.100000,7,120.951927,1.290826
part1.OtherArray,81,25000,0.100000,7,121.069987,1.138268
part1.OtherArray,91,25000,0.100000,7,121.663225,1.188359
part1.OtherArray,101,25000,0.100000,7,122.217137,1.053105
part1.OtherArray,1,25000,0.350000,7,118.009233,1.333291
part1.OtherArray,11,25000,0.350000,7,118.670470,1.244816
part1.OtherArray,21,25000,0.350000,7,119.594588,1.200649
part1.OtherArray,31,25000,0.350000,7,119.364246,1.087887
part1.OtherArray,41,25000,0.350000,7,119.331483,1.175298
part1.OtherArray,51,25000,0.350000,7,119.871587,1.220613
part1.OtherArray,61,25000,0.350000,7,120.533258,1.304614
part1.OtherArray,71,25000,0.350000,7,121.496809,5.753757
part1.OtherArray,81,25000,0.350000,7,121.754561,1.539458
part1.OtherArray,91,25000,0.350000,7,122.116456,1.277479
part1.OtherArray,101,25000,0.350000,7,123.103319,1.172262
part1.OtherArray,1,25000,0.650000,7,117.989974,1.049549
part1.OtherArray,11,25000,0.650000,7,118.487287,1.270878
part1.OtherArray,21,25000,0.650000,7,119.551733,1.424106
part1.OtherArray,31,25000,0.650000,7,119.316056,1.285828
part1.OtherArray,41,25000,0.650000,7,119.169946,1.221264
part1.OtherArray,51,25000,0.650000,7,119.921902,1.363888
part1.OtherArray,61,25000,0.650000,7,120.407841,1.285125
part1.OtherArray,71,25000,0.650000,7,120.851762,1.248448
part1.OtherArray,81,25000,0.650000,7,121.244541,1.377656
part1.OtherArray,91,25000,0.650000,7,122.070433,1.279531
part1.OtherArray,101,25000,0.650000,7,122.488087,1.351064
part1.OtherArray,1,25000,0.900000,7,112.514207,1.017119
part1.OtherArray,11,25000,0.900000,7,112.836933,0.995494
part1.OtherArray,21,25000,0.900000,7,113.384998,1.009670
part1.OtherArray,31,25000,0.900000,7,113.722807,1.098614
part1.OtherArray,41,25000,0.900000,7,114.256658,1.008651
part1.OtherArray,51,25000,0.900000,7,114.566561,1.135453
part1.OtherArray,61,25000,0.900000,7,115.143911,1.232522
part1.OtherArray,71,25000,0.900000,7,115.752108,1.129925
part1.OtherArray,81,25000,0.900000,7,115.979587,1.144171
part1.OtherArray,91,25000,0.900000,7,116.371737,0.992183
part1.OtherArray,101,25000,0.900000,7,116.828963,1.106052
part1.OtherArray,1,25000,0.100000,943,117.417135,0.944699
part1.OtherArray,11,25000,0.100000,943,117.589976,1.121958
part1.OtherArray,21,25000,0.100000,943,118.403704,1.010606
part1.OtherArray,31,25000,0.100000,943,118.827251,1.200197
part1.OtherArray,41,25000,0.100000,943,119.376574,1.259836
part1.OtherArray,51,25000,0.100000,943,120.309512,1.200165
part1.OtherArray,61,25000,0.100000,943,120.396637,1.137401
part1.OtherArray,71,25000,0.100000,943,120.791216,1.141309
part1.OtherArray,81,25000,0.100000,943,121.252382,1.075631
part1.OtherArray,91,25000,0.100000,943,121.692434,1.227224
part1.OtherArray,101,25000,0.100000,943,122.270767,1.152884
part1.OtherArray,1,25000,0.350000,943,117.285519,1.048361
part1.OtherArray,11,25000,0.350000,943,117.238441,1.214696
part1.OtherArray,21,25000,0.350000,943,118.372945,1.094547
part1.OtherArray,31,25000,0.350000,943,118.462495,1.621542
part1.OtherArray,41,25000,0.350000,943,118.113864,1.347838
part1.OtherArray,51,25000,0.350000,943,118.580889,1.105028
part1.OtherArray,61,25000,0.350000,943,119.239872,1.362385
part1.OtherArray,71,25000,0.350000,943,119.832825,1.346373
part1.OtherArray,81,25000,0.350000,943,120.294161,1.277487
part1.OtherArray,91,25000,0.350000,943,120.852821,1.165665
part1.OtherArray,101,25000,0.350000,943,121.492556,1.223062
part1.OtherArray,1,25000,0.650000,943,115.551689,0.965401
part1.OtherArray,11,25000,0.650000,943,116.086683,1.193266
part1.OtherArray,21,25000,0.650000,943,116.969754,1.212152
part1.OtherArray,31,25000,0.650000,943,116.602664,1.135722
part1.OtherArray,41,25000,0.650000,943,117.028580,1.259935
part1.OtherArray,51,25000,0.650000,943,117.387965,1.097922
part1.OtherArray,61,25000,0.650000,943,118.067429,1.216103
part1.OtherArray,71,25000,0.650000,943,118.524957,1.109338
part1.OtherArray,81,25000,0.650000,943,118.933735,1.248549
part1.OtherArray,91,25000,0.650000,943,119.339339,1.177697
part1.OtherArray,101,25000,0.650000,943,119.955311,1.340828
part1.OtherArray,1,25000,0.900000,943,110.845164,0.953427
part1.OtherArray,11,25000,0.900000,943,111.037168,1.157473
part1.OtherArray,21,25000,0.900000,943,111.441184,1.086996
part1.OtherArray,31,25000,0.900000,943,112.125158,1.142792
part1.OtherArray,41,25000,0.900000,943,112.508510,0.991761
part1.OtherArray,51,25000,0.900000,943,112.852386,1.004557
part1.OtherArray,61,25000,0.900000,943,113.619556,1.184717
part1.OtherArray,71,25000,0.900000,943,114.118796,1.416872
part1.OtherArray,81,25000,0.900000,943,114.244803,1.024816
part1.OtherArray,91,25000,0.900000,943,114.813271,1.078325
part1.OtherArray,101,25000,0.900000,943,115.057534,1.006122
