Algo,p,n,alpha,seed,Mean,Sdev
part1.SortedArray,1,2,0.750000,7,3203.375000,2128.638885
part1.SearchTree,1,2,0.750000,7,2602.625000,4269.758532
part1.OtherArray,1,2,0.750000,7,1353.125000,5712.193241
part1.SortedArray,1,4,0.750000,7,612.062500,825.085059
part1.SearchTree,1,4,0.750000,7,639.250000,490.066271
part1.OtherArray,1,4,0.750000,7,391.375000,338.911273
part1.SortedArray,1,8,0.750000,7,507.343750,510.325405
part1.SearchTree,1,8,0.750000,7,450.000000,415.037119
part1.OtherArray,1,8,0.750000,7,503.781250,546.301843
part1.SortedArray,1,16,0.750000,7,360.187500,173.818596
part1.SearchTree,1,16,0.750000,7,309.562500,183.640833
part1.OtherArray,1,16,0.750000,7,413.859375,298.431696
part1.SortedArray,1,32,0.750000,7,495.859375,312.993437
part1.SearchTree,1,32,0.750000,7,478.078125,385.765976
part1.OtherArray,1,32,0.750000,7,424.195313,193.582190
part1.SortedArray,1,64,0.750000,7,373.828125,179.940677
part1.SearchTree,1,64,0.750000,7,235.328125,105.647841
part1.OtherArray,1,64,0.750000,7,144.128906,107.618249
part1.SortedArray,1,128,0.750000,7,217.613281,1324.409186
part1.SearchTree,1,128,0.750000,7,39.220703,5.566872
part1.OtherArray,1,128,0.750000,7,61.238281,3.609723
part1.SortedArray,1,256,0.750000,7,112.065430,30.949368
part1.SearchTree,1,256,0.750000,7,121.484375,4.137787
part1.OtherArray,1,256,0.750000,7,148.500000,4.420968
part1.SortedArray,1,512,0.750000,7,183.342773,14.522571
part1.SearchTree,1,512,0.750000,7,132.181152,18.051992
part1.OtherArray,1,512,0.750000,7,151.675293,7.649978
part1.SortedArray,1,1024,0.750000,7,190.481689,3.906919
part1.SearchTree,1,1024,0.750000,7,81.317627,103.905350
part1.OtherArray,1,1024,0.750000,7,86.066162,4.144349
part1.SortedArray,1,2048,0.750000,7,138.660767,34.218379
part1.SearchTree,1,2048,0.750000,7,74.701660,1.210154
part1.OtherArray,1,2048,0.750000,7,98.170654,34.643146
part1.SortedArray,1,4096,0.750000,7,147.265808,16.804086
part1.SearchTree,1,4096,0.750000,7,87.932678,21.240485
part1.OtherArray,1,4096,0.750000,7,104.325378,15.685192
part1.SortedArray,1,8192,0.750000,7,155.318939,12.823812
part1.SearchTree,1,8192,0.750000,7,96.012970,13.473159
part1.OtherArray,1,8192,0.750000,7,106.749969,11.664023
part1.SortedArray,1,16384,0.750000,7,168.274002,9.593884
part1.SearchTree,1,16384,0.750000,7,107.540100,5.496803
part1.OtherArray,1,16384,0.750000,7,113.263779,3.746783
part1.SortedArray,1,32768,0.750000,7,176.313347,4.588008
part1.SearchTree,1,32768,0.750000,7,119.485703,5.090139
part1.OtherArray,1,32768,0.750000,7,123.173882,4.129598
part1.SortedArray,1,65536,0.750000,7,193.677528,15.380019
part1.SearchTree,1,65536,0.750000,7,132.119537,3.163869
part1.OtherArray,1,65536,0.750000,7,133.833672,2.990494
part1.SortedArray,1,131072,0.750000,7,206.326868,7.340341
part1.SearchTree,1,131072,0.750000,7,145.806747,4.047879
part1.OtherArray,1,131072,0.750000,7,144.123505,2.141084
part1.SortedArray,1,262144,0.750000,7,225.555229,6.061736
part1.SearchTree,1,262144,0.750000,7,181.501494,3.909449
part1.OtherArray,1,262144,0.750000,7,155.116383,2.124397
part1.SortedArray,1,524288,0.750000,7,239.663143,2.738598
part1.SearchTree,1,524288,0.750000,7,228.965330,7.929572
part1.OtherArray,1,524288,0.750000,7,174.744310,2.308817
part1.SortedArray,1,1048576,0.750000,7,262.188556,2.037246
part1.SearchTree,1,1048576,0.750000,7,268.585540,1.949810
part1.OtherArray,1,1048576,0.750000,7,220.546853,2.246732
part1.SortedArray,1,2,0.750000,943,165.875000,20.694217
part1.SearchTree,1,2,0.750000,943,155.500000,15.482199
part1.OtherArray,1,2,0.750000,943,160.750000,18.161406
part1.SortedArray,1,4,0.750000,943,105.500000,8.739674
part1.SearchTree,1,4,0.750000,943,92.125000,16.544728
part1.OtherArray,1,4,0.750000,943,95.437500,10.116897
part1.SortedArray,1,8,0.750000,943,79.093750,14.742310
part1.SearchTree,1,8,0.750000,943,60.843750,4.178676
part1.OtherArray,1,8,0.750000,943,66.156250,5.683410
part1.SortedArray,1,16,0.750000,943,72.000000,48.166199
part1.SearchTree,1,16,0.750000,943,43.718750,5.051459
part1.OtherArray,1,16,0.750000,943,50.140625,4.276042
part1.SortedArray,1,32,0.750000,943,66.914063,3.383025
part1.SearchTree,1,32,0.750000,943,36.898438,4.017122
part1.OtherArray,1,32,0.750000,943,44.898438,3.476175
part1.SortedArray,1,64,0.750000,943,78.417969,25.349468
part1.SearchTree,1,64,0.750000,943,37.136719,2.359892
part1.OtherArray,1,64,0.750000,943,51.695313,5.221207
part1.SortedArray,1,128,0.750000,943,80.769531,2.410428
part1.SearchTree,1,128,0.750000,943,36.470703,2.732040
part1.OtherArray,1,128,0.750000,943,60.029297,7.241091
part1.SortedArray,1,256,0.750000,943,104.873047,132.960319
part1.SearchTree,1,256,0.750000,943,46.485352,1.951898
part1.OtherArray,1,256,0.750000,943,73.069336,1.703503
part1.SortedArray,1,512,0.750000,943,107.503906,4.874300
part1.SearchTree,1,512,0.750000,943,55.376953,2.637394
part1.OtherArray,1,512,0.750000,943,80.235840,4.080344
part1.SortedArray,1,1024,0.750000,943,120.098633,2.464298
part1.SearchTree,1,1024,0.750000,943,64.652832,0.916361
part1.OtherArray,1,1024,0.750000,943,88.264160,26.854393
part1.SortedArray,1,2048,0.750000,943,135.373657,1.119675
part1.SearchTree,1,2048,0.750000,943,74.886230,1.573443
part1.OtherArray,1,2048,0.750000,943,96.867432,14.238224
part1.SortedArray,1,4096,0.750000,943,147.671936,9.448150
part1.SearchTree,1,4096,0.750000,943,83.320374,0.579569
part1.OtherArray,1,4096,0.750000,943,101.784119,8.168114
part1.SortedArray,1,8192,0.750000,943,156.582947,7.470078
part1.SearchTree,1,8192,0.750000,943,94.027649,4.895272
part1.OtherArray,1,8192,0.750000,943,106.890106,5.546841
part1.SortedArray,1,16384,0.750000,943,166.284805,6.949401
part1.SearchTree,1,16384,0.750000,943,107.734146,5.595426
part1.OtherArray,1,16384,0.750000,943,114.253647,5.613685
part1.SortedArray,1,32768,0.750000,943,179.020348,3.276428
part1.SearchTree,1,32768,0.750000,943,118.721680,4.283949
part1.OtherArray,1,32768,0.750000,943,125.896744,3.558438
part1.SortedArray,1,65536,0.750000,943,195.219990,6.912589
part1.SearchTree,1,65536,0.750000,943,136.723339,4.709723
part1.OtherArray,1,65536,0.750000,943,137.311794,3.436700
part1.SortedArray,1,131072,0.750000,943,207.629923,3.349868
part1.SearchTree,1,131072,0.750000,943,146.923086,4.257151
part1.OtherArray,1,131072,0.750000,943,145.933722,2.162843
part1.SortedArray,1,262144,0.750000,943,224.033381,3.927657
part1.SearchTree,1,262144,0.750000,943,177.188753,3.796058
part1.OtherArray,1,262144,0.750000,943,155.044666,2.209585
part1.SortedArray,1,524288,0.750000,943,242.814090,2.079417
part1.SearchTree,1,524288,0.750000,943,226.095892,2.933119
part1.OtherArray,1,524288,0.750000,943,175.595336,2.489460
part1.SortedArray,1,1048576,0.750000,943,259.932935,1.866789
part1.SearchTree,1,1048576,0.750000,943,281.039813,2.102926
part1.OtherArray,1,1048576,0.750000,943,217.587077,1.453474
part1.SortedArray,1,2,0.750000,57438,166.000000,22.281885
part1.SearchTree,1,2,0.750000,57438,156.125000,18.501918
part1.OtherArray,1,2,0.750000,57438,160.125000,18.262722
part1.SortedArray,1,4,0.750000,57438,109.375000,7.280067
part1.SearchTree,1,4,0.750000,57438,93.000000,31.618804
part1.OtherArray,1,4,0.750000,57438,98.687500,10.439276
part1.SortedArray,1,8,0.750000,57438,82.750000,5.647464
part1.SearchTree,1,8,0.750000,57438,63.000000,4.219928
part1.OtherArray,1,8,0.750000,57438,69.687500,13.623360
part1.SortedArray,1,16,0.750000,57438,70.687500,4.209682
part1.SearchTree,1,16,0.750000,57438,45.140625,5.799545
part1.OtherArray,1,16,0.750000,57438,51.703125,5.117164
part1.SortedArray,1,32,0.750000,57438,70.375000,3.470391
part1.SearchTree,1,32,0.750000,57438,38.101563,3.295734
part1.OtherArray,1,32,0.750000,57438,46.898438,3.691830
part1.SortedArray,1,64,0.750000,57438,73.902344,2.268740
part1.SearchTree,1,64,0.750000,57438,36.472656,2.477444
part1.OtherArray,1,64,0.750000,57438,50.667969,2.518966
part1.SortedArray,1,128,0.750000,57438,84.294922,29.658825
part1.SearchTree,1,128,0.750000,57438,36.437500,2.748823
part1.OtherArray,1,128,0.750000,57438,57.644531,2.327173
part1.SortedArray,1,256,0.750000,57438,94.686523,2.117685
part1.SearchTree,1,256,0.750000,57438,45.677734,2.211036
part1.OtherArray,1,256,0.750000,57438,72.586914,5.715656
part1.SortedArray,1,512,0.750000,57438,108.649414,4.758603
part1.SearchTree,1,512,0.750000,57438,55.580078,3.122362
part1.OtherArray,1,512,0.750000,57438,85.876465,59.033537
part1.SortedArray,1,1024,0.750000,57438,119.340332,2.517383
part1.SearchTree,1,1024,0.750000,57438,63.486328,0.928025
part1.OtherArray,1,1024,0.750000,57438,85.312988,0.472078
part1.SortedArray,1,2048,0.750000,57438,137.118530,4.291216
part1.SearchTree,1,2048,0.750000,57438,77.518188,16.902819
part1.OtherArray,1,2048,0.750000,57438,94.771362,1.616456
part1.SortedArray,1,4096,0.750000,57438,142.789551,7.842877
part1.SearchTree,1,4096,0.750000,57438,82.680786,5.264866
part1.OtherArray,1,4096,0.750000,57438,101.203186,10.320987
part1.SortedArray,1,8192,0.750000,57438,155.010468,4.166489
part1.SearchTree,1,8192,0.750000,57438,95.600128,7.415816
part1.OtherArray,1,8192,0.750000,57438,106.066437,3.957860
part1.SortedArray,1,16384,0.750000,57438,168.765640,5.283579
part1.SearchTree,1,16384,0.750000,57438,109.225433,4.356298
part1.OtherArray,1,16384,0.750000,57438,116.129990,5.389764
part1.SortedArray,1,32768,0.750000,57438,175.869637,3.497611
part1.SearchTree,1,32768,0.750000,57438,118.051964,3.465619
part1.OtherArray,1,32768,0.750000,57438,123.745750,4.280872
part1.SortedArray,1,65536,0.750000,57438,191.306190,6.473392
part1.SearchTree,1,65536,0.750000,57438,133.935886,6.717268
part1.OtherArray,1,65536,0.750000,57438,135.012539,2.932060
part1.SortedArray,1,131072,0.750000,57438,211.531986,7.140332
part1.SearchTree,1,131072,0.750000,57438,148.458336,3.950967
part1.OtherArray,1,131072,0.750000,57438,147.701857,2.005956
part1.SortedArray,1,262144,0.750000,57438,224.512508,3.256522
part1.SearchTree,1,262144,0.750000,57438,181.953183,6.591248
part1.OtherArray,1,262144,0.750000,57438,155.319992,2.067449
part1.SortedArray,1,524288,0.750000,57438,239.077016,2.119769
part1.SearchTree,1,524288,0.750000,57438,233.674176,2.820609
part1.OtherArray,1,524288,0.750000,57438,175.516240,3.257356
part1.SortedArray,1,1048576,0.750000,57438,256.886318,5.051143
part1.SearchTree,1,1048576,0.750000,57438,278.618591,3.039231
part1.OtherArray,1,1048576,0.750000,57438,215.736175,1.678916
